year,zone_id,zone_type,name,image_count,valid_pixel_count,total_pixel_count,valid_coverage_percent
1989,agriculture_01,agricultural,Irrigated agricultural land,1,1282.372549019608,3262.3882352941155,39.30778486589281
1989,aoi_leh_immediate,aoi,Leh town and immediate surroundings,1,19869.078431372553,38054.058823529376,52.212770583849554
1989,natural_01,natural,Natural mountain,1,3217.5372549019603,4310.784313725495,74.63925403684321
1989,urban_01,urban,Leh urban settlement,1,10351.709803921565,16741.58823529411,61.8323044291485
1990,agriculture_01,agricultural,Irrigated agricultural land,3,3262.3882352941155,3262.3882352941155,100.0
1990,aoi_leh_immediate,aoi,Leh town and immediate surroundings,3,38054.058823529376,38054.058823529376,100.0
1990,natural_01,natural,Natural mountain,3,4310.784313725495,4310.784313725495,100.0
1990,urban_01,urban,Leh urban settlement,3,16741.58823529411,16741.58823529411,100.0
1991,agriculture_01,agricultural,Irrigated agricultural land,2,3262.3882352941155,3262.3882352941155,100.0
1991,aoi_leh_immediate,aoi,Leh town and immediate surroundings,2,38054.058823529376,38054.058823529376,100.0
1991,natural_01,natural,Natural mountain,2,4310.784313725495,4310.784313725495,100.0
1991,urban_01,urban,Leh urban settlement,2,16741.58823529411,16741.58823529411,100.0
1992,agriculture_01,agricultural,Irrigated agricultural land,3,3262.3882352941155,3262.3882352941155,100.0
1992,aoi_leh_immediate,aoi,Leh town and immediate surroundings,3,38054.058823529376,38054.058823529376,100.0
1992,natural_01,natural,Natural mountain,3,4310.784313725495,4310.784313725495,100.0
1992,urban_01,urban,Leh urban settlement,3,16741.58823529411,16741.58823529411,100.0
1993,agriculture_01,agricultural,Irrigated agricultural land,2,3262.3882352941155,3262.3882352941155,100.0
1993,aoi_leh_immediate,aoi,Leh town and immediate surroundings,2,38054.058823529376,38054.058823529376,100.0
1993,natural_01,natural,Natural mountain,2,4310.784313725495,4310.784313725495,100.0
1993,urban_01,urban,Leh urban settlement,2,16741.58823529411,16741.58823529411,100.0
1994,agriculture_01,agricultural,Irrigated agricultural land,3,3262.3882352941155,3262.3882352941155,100.0
1994,aoi_leh_immediate,aoi,Leh town and immediate surroundings,3,38054.058823529376,38054.058823529376,100.0
1994,natural_01,natural,Natural mountain,3,4310.784313725495,4310.784313725495,100.0
1994,urban_01,urban,Leh urban settlement,3,16741.58823529411,16741.58823529411,100.0
1995,agriculture_01,agricultural,Irrigated agricultural land,0,0.0,0.0,0.0
1995,aoi_leh_immediate,aoi,Leh town and immediate surroundings,0,0.0,0.0,0.0
1995,natural_01,natural,Natural mountain,0,0.0,0.0,0.0
1995,urban_01,urban,Leh urban settlement,0,0.0,0.0,0.0
1996,agriculture_01,agricultural,Irrigated agricultural land,4,3262.3882352941155,3262.3882352941155,100.0
1996,aoi_leh_immediate,aoi,Leh town and immediate surroundings,4,38054.058823529376,38054.058823529376,100.0
1996,natural_01,natural,Natural mountain,4,4310.784313725495,4310.784313725495,100.0
1996,urban_01,urban,Leh urban settlement,4,16741.58823529411,16741.58823529411,100.0
1997,agriculture_01,agricultural,Irrigated agricultural land,1,3233.560784313723,3262.3882352941155,99.11636969908967
1997,aoi_leh_immediate,aoi,Leh town and immediate surroundings,1,37458.59999999999,38054.058823529376,98.43522913996968
1997,natural_01,natural,Natural mountain,1,4310.784313725495,4310.784313725495,100.0
1997,urban_01,urban,Leh urban settlement,1,16353.290196078426,16741.58823529411,97.68063797915488
1998,agriculture_01,agricultural,Irrigated agricultural land,3,3262.3882352941155,3262.3882352941155,100.0
1998,aoi_leh_immediate,aoi,Leh town and immediate surroundings,3,38054.058823529376,38054.058823529376,100.0
1998,natural_01,natural,Natural mountain,3,4310.784313725495,4310.784313725495,100.0
1998,urban_01,urban,Leh urban settlement,3,16741.58823529411,16741.58823529411,100.0
1999,agriculture_01,agricultural,Irrigated agricultural land,2,3262.3882352941155,3262.3882352941155,100.0
1999,aoi_leh_immediate,aoi,Leh town and immediate surroundings,2,38054.058823529376,38054.058823529376,100.0
1999,natural_01,natural,Natural mountain,2,4310.784313725495,4310.784313725495,100.0
1999,urban_01,urban,Leh urban settlement,2,16741.58823529411,16741.58823529411,100.0
2000,agriculture_01,agricultural,Irrigated agricultural land,6,3262.3882352941155,3262.3882352941155,100.0
2000,aoi_leh_immediate,aoi,Leh town and immediate surroundings,6,38054.058823529376,38054.058823529376,100.0
2000,natural_01,natural,Natural mountain,6,4310.784313725495,4310.784313725495,100.0
2000,urban_01,urban,Leh urban settlement,6,16741.58823529411,16741.58823529411,100.0
2001,agriculture_01,agricultural,Irrigated agricultural land,3,3262.3882352941155,3262.3882352941155,100.0
2001,aoi_leh_immediate,aoi,Leh town and immediate surroundings,3,38054.058823529376,38054.058823529376,100.0
2001,natural_01,natural,Natural mountain,3,4310.784313725495,4310.784313725495,100.0
2001,urban_01,urban,Leh urban settlement,3,16741.58823529411,16741.58823529411,100.0
2002,agriculture_01,agricultural,Irrigated agricultural land,3,3262.3882352941155,3262.3882352941155,100.0
2002,aoi_leh_immediate,aoi,Leh town and immediate surroundings,3,38054.058823529376,38054.058823529376,100.0
2002,natural_01,natural,Natural mountain,3,4310.784313725495,4310.784313725495,100.0
2002,urban_01,urban,Leh urban settlement,3,16741.58823529411,16741.58823529411,100.0
