count,max,mean,median,min,name,stdDev,year,zone_id,zone_type
1402,0.7507597208023071,0.30457240007196346,0.25423913472762044,-0.2466839849948883,Irrigated agricultural land,0.20617408429773773,1989,agriculture_01,agricultural
20203,0.7991679310798645,0.17257708688356074,0.05266216839347857,-0.0451292023062706,Leh town and immediate surroundings,0.2101946647387302,1989,aoi_leh_immediate,aoi
3454,0.15988998115062714,0.035126705937512354,0.03459352552666273,-0.016067877411842346,Natural mountain,0.014507106108631965,1989,natural_01,natural
10747,0.7991679310798645,0.30826250255590854,0.29878123484405816,-0.027703246101737022,Leh urban settlement,0.23080238743520384,1989,urban_01,urban
3508,0.5668046474456787,0.14996042807550236,0.13890202058309942,-0.3586327135562897,Irrigated agricultural land,0.10348660730756223,1990,agriculture_01,agricultural
38584,0.6749934554100037,0.06970526117247429,0.029143131206698227,-0.2964703440666199,Leh town and immediate surroundings,0.09409200806341261,1990,aoi_leh_immediate,aoi
4626,0.13109590113162994,0.02074277945063706,0.02103090392889195,-0.02632989175617695,Natural mountain,0.01221339357158987,1990,natural_01,natural
17427,0.6749934554100037,0.10006625821116345,0.036671717588535886,-0.03659234195947647,Leh urban settlement,0.11002297318960037,1990,urban_01,urban
3508,0.6752678155899048,0.2878082782057332,0.2712852375323109,-0.25354334712028503,Irrigated agricultural land,0.16246447479178747,1991,agriculture_01,agricultural
38584,0.6816319227218628,0.09851197001156127,0.033078810393038054,-0.25362977385520935,Leh town and immediate surroundings,0.12460881343408241,1991,aoi_leh_immediate,aoi
4626,0.17584431171417236,0.026237762201005477,0.025850169060933858,-0.01708734594285488,Natural mountain,0.01055966748905886,1991,natural_01,natural
17427,0.5060681104660034,0.1348617837972144,0.044844882874888144,-0.014636829495429993,Leh urban settlement,0.12611192880457076,1991,urban_01,urban
3508,0.5089147686958313,0.24967850678590695,0.28752909898559714,-0.14550089836120605,Irrigated agricultural land,0.12792895021012937,1992,agriculture_01,agricultural
38584,0.7386844158172607,0.09979840194990605,0.02912253855056772,-0.2024308145046234,Leh town and immediate surroundings,0.13437608443763588,1992,aoi_leh_immediate,aoi
4626,0.1728701889514923,0.018174533033646568,0.0180612352645575,-0.03171973302960396,Natural mountain,0.011915906479501852,1992,natural_01,natural
17427,0.7447471618652344,0.1549837307134658,0.040812387020282184,-0.0369226448237896,Leh urban settlement,0.1621722922889638,1992,urban_01,urban
3508,0.5703456997871399,0.24954348492213496,0.27547657222085437,-0.29687219858169556,Irrigated agricultural land,0.1232745435627505,1993,agriculture_01,agricultural
38584,0.6570541858673096,0.11433754565545179,0.04269631060811672,-0.38060954213142395,Leh town and immediate surroundings,0.13194059796155075,1993,aoi_leh_immediate,aoi
4626,0.2309439778327942,0.03606617448010488,0.036151817649047215,-0.02433612197637558,Natural mountain,0.012690186527798753,1993,natural_01,natural
17427,0.6570541858673096,0.16793544057669127,0.0563957786530369,-0.04079393297433853,Leh urban settlement,0.15357884726311838,1993,urban_01,urban
3508,0.7166877388954163,0.24996447425447396,0.23026684044175652,-0.3390091061592102,Irrigated agricultural land,0.1463934725248618,1994,agriculture_01,agricultural
38584,0.7844157814979553,0.10586000601331921,0.034865410880682624,-0.572784960269928,Leh town and immediate surroundings,0.1397794151066036,1994,aoi_leh_immediate,aoi
4626,0.152897909283638,0.027239068193490406,0.027906573388128002,-0.03436661139130592,Natural mountain,0.012209518651504738,1994,natural_01,natural
17427,0.7844157814979553,0.15184225781586325,0.04897444310268781,-0.04860681667923927,Leh urban settlement,0.15823441289741766,1994,urban_01,urban
3508,0.7359638810157776,0.3862153060652663,0.4330796556933961,-0.3307090401649475,Irrigated agricultural land,0.1848010527267297,1996,agriculture_01,agricultural
38584,0.7968246936798096,0.15103380332209584,0.03493347807122039,-0.4363870620727539,Leh town and immediate surroundings,0.1953320062237188,1996,aoi_leh_immediate,aoi
4626,0.2764066457748413,0.03344608062416221,0.032272157802833226,-0.015911070629954338,Natural mountain,0.01295461916859734,1996,natural_01,natural
17427,0.7968246936798096,0.21971560513580832,0.06054579390562974,-0.03496759012341499,Leh urban settlement,0.2186909607337337,1996,urban_01,urban
3472,0.5498104095458984,0.2173193671410339,0.20590368189448746,-0.10823584347963333,Irrigated agricultural land,0.10243471491498804,1997,agriculture_01,agricultural
37971,0.6627095937728882,0.09816926541053538,0.03686330651890297,-0.1888488382101059,Leh town and immediate surroundings,0.1152856926774497,1997,aoi_leh_immediate,aoi
4626,0.20941196382045746,0.030553259368647577,0.030765589869327082,-0.020366549491882324,Natural mountain,0.01069951509242131,1997,natural_01,natural
17017,0.6627095937728882,0.1327700195585623,0.05278816211746458,-0.022473327815532684,Leh urban settlement,0.1291042194157672,1997,urban_01,urban
3508,0.7461374402046204,0.3550990969803658,0.3863966811246209,-0.36316999793052673,Irrigated agricultural land,0.17271987751169615,1998,agriculture_01,agricultural
38584,0.7970731854438782,0.14463433146315824,0.034774433425415516,-0.3629065454006195,Leh town and immediate surroundings,0.18973164329161227,1998,aoi_leh_immediate,aoi
4626,0.2618705928325653,0.030494742041942503,0.030332579578930107,-0.022263605147600174,Natural mountain,0.011704277123446242,1998,natural_01,natural
17427,0.7970731854438782,0.21413855916059185,0.060662700530400585,-0.04116394370794296,Leh urban settlement,0.2137727076326905,1998,urban_01,urban
3508,0.5757235288619995,0.30366011109985364,0.34193039024690786,-0.1422608196735382,Irrigated agricultural land,0.1299394429190228,1999,agriculture_01,agricultural
38584,0.6268686652183533,0.12851606882253463,0.04249489584733964,-0.5318408608436584,Leh town and immediate surroundings,0.15059083388958297,1999,aoi_leh_immediate,aoi
4626,0.18195116519927979,0.036947097149446044,0.0366168177628989,0.0023256412241607904,Natural mountain,0.010335149274690666,1999,natural_01,natural
17427,0.6268686652183533,0.181524453298076,0.0643177661785596,-0.04326298087835312,Leh urban settlement,0.16897862665189708,1999,urban_01,urban
3508,0.7037551999092102,0.27010713095980304,0.25606678492064855,-0.22830839455127716,Irrigated agricultural land,0.15196963595775337,2000,agriculture_01,agricultural
38584,0.7582239508628845,0.11295293253197576,0.03467372087367893,-0.3147258758544922,Leh town and immediate surroundings,0.14459321735353267,2000,aoi_leh_immediate,aoi
4626,0.2002907395362854,0.026703763205298995,0.025885993987616252,0.0019685111474245787,Natural mountain,0.010308438428401805,2000,natural_01,natural
17427,0.7582239508628845,0.159308558463182,0.05657566914136094,-0.036926355212926865,Leh urban settlement,0.1621442254005589,2000,urban_01,urban
3508,0.7020812630653381,0.2592920007464576,0.24028943097726418,-0.15201249718666077,Irrigated agricultural land,0.14372771843202017,2001,agriculture_01,agricultural
38584,0.6998728513717651,0.1026330011994456,0.03470857003483093,-0.4420364797115326,Leh town and immediate surroundings,0.1325594507225128,2001,aoi_leh_immediate,aoi
4626,0.14659741520881653,0.022731417352541784,0.021931340498454268,-0.011026955209672451,Natural mountain,0.01099260550761908,2001,natural_01,natural
17427,0.6998728513717651,0.1392979472513136,0.05284392988414803,-0.03383675590157509,Leh urban settlement,0.1418331188915062,2001,urban_01,urban
3508,0.6937185525894165,0.3423371026605189,0.37303441380290414,-0.19236581027507782,Irrigated agricultural land,0.15742703348004772,2002,agriculture_01,agricultural
38584,0.6879408359527588,0.10860829744561286,0.03313880076766993,-0.2842727303504944,Leh town and immediate surroundings,0.13920548456692564,2002,aoi_leh_immediate,aoi
4626,0.18119877576828003,0.024350246924647,0.023930705418521377,-0.012552404776215553,Natural mountain,0.011930637443581174,2002,natural_01,natural
17427,0.6879408359527588,0.14575530119230723,0.056570957991463104,-0.02901153452694416,Leh urban settlement,0.14722400321696277,2002,urban_01,urban
3508,0.7692008018493652,0.3311077891657273,0.31849750876862337,-0.15502440929412842,Irrigated agricultural land,0.16265775557378334,2003,agriculture_01,agricultural
38584,0.7759193778038025,0.13488234270533342,0.042541651085859195,-0.35109013319015503,Leh town and immediate surroundings,0.16794924698658212,2003,aoi_leh_immediate,aoi
4626,0.18677832186222076,0.03299013622189714,0.03172732096467898,0.0035118074156343937,Natural mountain,0.011698923205541513,2003,natural_01,natural
17427,0.7759193778038025,0.18474072770653735,0.06443497507635207,-0.03479376807808876,Leh urban settlement,0.18304164510495474,2003,urban_01,urban
3508,0.7205501794815063,0.3565682342849187,0.35369094662494105,-0.08119462430477142,Irrigated agricultural land,0.14759134939618318,2004,agriculture_01,agricultural
38584,0.7550873756408691,0.13018126481449913,0.03493708145121678,-0.28796225786209106,Leh town and immediate surroundings,0.1639485092419177,2004,aoi_leh_immediate,aoi
4626,0.2734062671661377,0.028100105912863663,0.02633852818753366,-0.010125274769961834,Natural mountain,0.013036079784482965,2004,natural_01,natural
17427,0.7550873756408691,0.17502019028294585,0.06043859204152156,-0.027484633028507233,Leh urban settlement,0.17439101872126153,2004,urban_01,urban
3508,0.7197774052619934,0.30549218700815534,0.28715787947902177,-0.17393659055233002,Irrigated agricultural land,0.1572352116389617,2005,agriculture_01,agricultural
38584,0.7209526896476746,0.12033405418174811,0.03482799766060504,-0.3502974212169647,Leh town and immediate surroundings,0.15247631548626214,2005,aoi_leh_immediate,aoi
4626,0.24676211178302765,0.027847130042583206,0.02636322795472535,-0.01904432103037834,Natural mountain,0.012891707599798127,2005,natural_01,natural
17427,0.7209526896476746,0.16789020576742106,0.060356201970541305,-0.046571262180805206,Leh urban settlement,0.16865645142499766,2005,urban_01,urban
3508,0.654874324798584,0.2800534174761911,0.27164677619396593,-0.1031653955578804,Irrigated agricultural land,0.13716477184757783,2006,agriculture_01,agricultural
38584,0.7186357378959656,0.11836127471793782,0.04479384916739952,-0.2574111223220825,Leh town and immediate surroundings,0.1387462192650936,2006,aoi_leh_immediate,aoi
4626,0.19687089323997498,0.038975068603628926,0.03761766005213363,-0.002443742472678423,Natural mountain,0.013081452885049074,2006,natural_01,natural
17427,0.7186357378959656,0.1636502124036059,0.06450835146905744,-0.03827500715851784,Leh urban settlement,0.1584824297581172,2006,urban_01,urban
3508,0.6760379076004028,0.3056560536042616,0.3029662745066343,-0.16660723090171814,Irrigated agricultural land,0.13544788045344708,2007,agriculture_01,agricultural
38584,0.7380693554878235,0.1139261124678373,0.04095384647037559,-0.11427835375070572,Leh town and immediate surroundings,0.13464527490385433,2007,aoi_leh_immediate,aoi
4626,0.19225122034549713,0.03287043261589268,0.03175402640424869,-0.014194536954164505,Natural mountain,0.010716347296776655,2007,natural_01,natural
17427,0.7272762656211853,0.1565959259574084,0.06437408320737396,-0.06311141699552536,Leh urban settlement,0.14866208629070338,2007,urban_01,urban
3508,0.6750037670135498,0.2857568863028554,0.27945173296323994,-0.10768642276525497,Irrigated agricultural land,0.13633950408741774,2008,agriculture_01,agricultural
38584,0.668980062007904,0.09968670052236565,0.029179645668808624,-0.1958872228860855,Leh town and immediate surroundings,0.1286605342328442,2008,aoi_leh_immediate,aoi
4626,0.13137082755565643,0.02168465285710295,0.021028283181051186,-0.005686331540346146,Natural mountain,0.009953714561814098,2008,natural_01,natural
17427,0.6660538911819458,0.1382847928253904,0.05265427826473598,-0.052662547677755356,Leh urban settlement,0.1397415813304212,2008,urban_01,urban
3508,0.7706055641174316,0.32510676799433813,0.31869834022170673,-0.09434409439563751,Irrigated agricultural land,0.14528718936670587,2009,agriculture_01,agricultural
38584,0.7706055641174316,0.1195204134796326,0.04262270703221344,-0.35883063077926636,Leh town and immediate surroundings,0.13863951552543077,2009,aoi_leh_immediate,aoi
4626,0.12546180188655853,0.03515679435409074,0.03442894970122812,0.00807124562561512,Natural mountain,0.010440980249760628,2009,natural_01,natural
17427,0.7601721882820129,0.16262298952389714,0.06824027694077515,-0.041895993053913116,Leh urban settlement,0.1513081049218739,2009,urban_01,urban
3508,0.7410173416137695,0.3107239604715917,0.3145722380051246,-0.21754498779773712,Irrigated agricultural land,0.14640187570782487,2010,agriculture_01,agricultural
38584,0.7410173416137695,0.12023006660320429,0.05031810813300617,-0.3328131437301636,Leh town and immediate surroundings,0.13642159706885554,2010,aoi_leh_immediate,aoi
4626,0.15160945057868958,0.04515683114334782,0.044443824923361276,0.0030133493710309267,Natural mountain,0.013378245464807696,2010,natural_01,natural
17427,0.6894307136535645,0.16772154457786026,0.07210589946516578,-0.04543645679950714,Leh urban settlement,0.15587134853656615,2010,urban_01,urban
3508,0.6873182058334351,0.32462137990432455,0.3221299304856762,-0.08921927958726883,Irrigated agricultural land,0.1432167857915057,2011,agriculture_01,agricultural
38584,0.7490195631980896,0.11255932213914173,0.04090425955366624,-0.2317930907011032,Leh town and immediate surroundings,0.1342678608904317,2011,aoi_leh_immediate,aoi
4626,0.2556511163711548,0.03386839297804565,0.0322076107967217,0.004175472538918257,Natural mountain,0.01230209368512496,2011,natural_01,natural
17427,0.7490195631980896,0.1565854068371344,0.0643718359022072,-0.045157916843891144,Leh urban settlement,0.1499455761869665,2011,urban_01,urban
3508,0.6432520747184753,0.30564091582500924,0.3066315726012361,-0.05451376736164093,Irrigated agricultural land,0.13958278833846843,2012,agriculture_01,agricultural
38584,0.7543917894363403,0.10527206866997396,0.04094751560599201,-0.19005705416202545,Leh town and immediate surroundings,0.1243572856685106,2012,aoi_leh_immediate,aoi
4626,0.27117958664894104,0.0314479071943111,0.03023866085993086,-0.0034218726214021444,Natural mountain,0.012855191767085284,2012,natural_01,natural
17427,0.7543917894363403,0.1405400953520903,0.06434066218208562,-0.058629948645830154,Leh urban settlement,0.13173396826043532,2012,urban_01,urban
3508,0.7959715723991394,0.45493778777628247,0.4784768459388985,-0.16750451922416687,Irrigated agricultural land,0.1626741990968781,2013,agriculture_01,agricultural
38584,0.8349951505661011,0.15337045151745624,0.06593401317169151,-0.3318461775779724,Leh town and immediate surroundings,0.1691116306128737,2013,aoi_leh_immediate,aoi
4626,0.3151022791862488,0.05072080786339617,0.04981738813105005,0.0034993786830455065,Natural mountain,0.01679092926842612,2013,natural_01,natural
17427,0.8135875463485718,0.1972790808413505,0.09167413021333366,-0.06317818909883499,Leh urban settlement,0.17517395856512102,2013,urban_01,urban
3508,0.7585827112197876,0.41537063356601206,0.4237690274674875,-0.07531394064426422,Irrigated agricultural land,0.16097647013154168,2014,agriculture_01,agricultural
38584,0.794106662273407,0.1440215247579827,0.05829234570745562,-0.2911667227745056,Leh town and immediate surroundings,0.15795842635109703,2014,aoi_leh_immediate,aoi
4626,0.2853943705558777,0.050022388061939295,0.047828888887915554,0.01105626579374075,Natural mountain,0.014799052042605535,2014,natural_01,natural
17427,0.794106662273407,0.18669620621168656,0.08800942351951364,-0.0646725744009018,Leh urban settlement,0.16535783721291386,2014,urban_01,urban
3508,0.7336328625679016,0.4028733824063616,0.4124925669673386,-0.1161235123872757,Irrigated agricultural land,0.14738654929852876,2015,agriculture_01,agricultural
38584,0.7789566516876221,0.14210597197618113,0.058333045242457686,-0.5231012105941772,Leh town and immediate surroundings,0.15174241622894008,2015,aoi_leh_immediate,aoi
4626,0.2821292281150818,0.050953254608524214,0.049809599580395714,0.006637676618993282,Natural mountain,0.015993038784698415,2015,natural_01,natural
17427,0.7789566516876221,0.18158758171166026,0.09172884413297001,-0.06874797493219376,Leh urban settlement,0.15796876081019892,2015,urban_01,urban
3508,0.7539000511169434,0.420424029507332,0.4355550852207789,-0.049119241535663605,Irrigated agricultural land,0.1600809575060158,2016,agriculture_01,agricultural
38584,0.8024173378944397,0.1396550000405235,0.056586333824447076,-0.1451091468334198,Leh town and immediate surroundings,0.1546267773526105,2016,aoi_leh_immediate,aoi
4626,0.22419379651546478,0.045808164893711555,0.04338230408066919,0.007499842904508114,Natural mountain,0.015378849286083211,2016,natural_01,natural
17427,0.8024173378944397,0.17870450368585664,0.09175267995229326,-0.05555867776274681,Leh urban settlement,0.1587857791615724,2016,urban_01,urban
3508,0.7315456867218018,0.4299154924638353,0.4392577021907822,-0.129301518201828,Irrigated agricultural land,0.15447991743752038,2017,agriculture_01,agricultural
38584,0.7454494833946228,0.13972038764831576,0.056546826232657124,-0.1966615915298462,Leh town and immediate surroundings,0.15590520911798275,2017,aoi_leh_immediate,aoi
4626,0.2207237035036087,0.04763745188611482,0.04543841207670436,0.010848702862858772,Natural mountain,0.015023307834159286,2017,natural_01,natural
17427,0.7454494833946228,0.1761540649497573,0.09187557130647357,-0.06161701679229736,Leh urban settlement,0.1579205238174558,2017,urban_01,urban
3508,0.7541224956512451,0.3873202569126816,0.4006002701351892,-0.19290971755981445,Irrigated agricultural land,0.14747515631080405,2018,agriculture_01,agricultural
38584,0.7316473722457886,0.1281066213633464,0.05825748927274385,-0.325382798910141,Leh town and immediate surroundings,0.1323091939655333,2018,aoi_leh_immediate,aoi
4626,0.23685809969902039,0.05051886890457772,0.04935702221519915,0.011253091506659985,Natural mountain,0.013867769697464113,2018,natural_01,natural
17427,0.6734787225723267,0.15799757665654918,0.09183795766531143,-0.05788100138306618,Leh urban settlement,0.13074465755911724,2018,urban_01,urban
3508,0.7178266048431396,0.4092371456620802,0.4194462709768014,-0.24347451329231262,Irrigated agricultural land,0.14814485774876704,2019,agriculture_01,agricultural
38584,0.74567711353302,0.13915322199346933,0.0661343639084223,-0.4791247546672821,Leh town and immediate surroundings,0.14123890529556063,2019,aoi_leh_immediate,aoi
4626,0.26761674880981445,0.05552016168406359,0.05370302189304975,0.013120215386152267,Natural mountain,0.01615904399283798,2019,natural_01,natural
17427,0.7261903882026672,0.16974905687360556,0.10345253416457006,-0.06367457658052444,Leh urban settlement,0.13949264416721474,2019,urban_01,urban
3508,0.7412186861038208,0.41264720810850897,0.427853708710623,-0.1641472578048706,Irrigated agricultural land,0.14746163990612948,2020,agriculture_01,agricultural
38584,0.7412186861038208,0.13430119138550323,0.06048863403714007,-0.20922008156776428,Leh town and immediate surroundings,0.14275912340849903,2020,aoi_leh_immediate,aoi
4626,0.24146203696727753,0.048558406467318425,0.04736382659972014,0.0017216458218172193,Natural mountain,0.01499449071311668,2020,natural_01,natural
17427,0.711216926574707,0.16721346083487806,0.09558518666312096,-0.06455539166927338,Leh urban settlement,0.14271407728027916,2020,urban_01,urban
3508,0.7968028783798218,0.4358822534231716,0.4474449572122797,-0.05393284559249878,Irrigated agricultural land,0.14994255546507135,2021,agriculture_01,agricultural
38584,0.7590140700340271,0.13610824011141034,0.05828052502943337,-0.2493996024131775,Leh town and immediate surroundings,0.1444888296169677,2021,aoi_leh_immediate,aoi
4626,0.266236811876297,0.04969453875794081,0.04785183649100453,-0.0019226111471652985,Natural mountain,0.015091496459903347,2021,natural_01,natural
17427,0.7495548725128174,0.1651324477218023,0.09558272708109976,-0.05565766617655754,Leh urban settlement,0.1399846252420119,2021,urban_01,urban
3508,0.7613018155097961,0.44864473362811513,0.4626415796166612,-0.04864639416337013,Irrigated agricultural land,0.1463951416326246,2022,agriculture_01,agricultural
